t,ns,marker_id,angle_error_deg,miss_distance_m,range_m
1788858291.803,selected_bearing_rays,2,-9.037,27.75,176.65
1788858291.840,selected_bearing_rays,1,-14.781,45.10,176.76
1788858291.840,selected_bearing_rays,2,-8.965,27.54,176.76
1788858291.862,selected_bearing_rays,1,-14.793,45.14,176.80
1788858291.862,selected_bearing_rays,2,-8.971,27.57,176.80
1788858291.890,selected_bearing_rays,1,-14.635,44.69,176.87
1788858291.890,selected_bearing_rays,2,-9.150,28.13,176.87
1788858291.912,selected_bearing_rays,1,-19.135,57.99,176.91
1788858291.913,selected_bearing_rays,2,-13.799,42.20,176.91
1788858291.938,selected_bearing_rays,1,-20.938,63.24,176.96
1788858291.939,selected_bearing_rays,2,-15.596,47.58,176.96
1788858291.960,selected_bearing_rays,1,-21.590,65.14,177.02
1788858291.961,selected_bearing_rays,2,-16.218,49.44,177.02
1788858291.979,selected_bearing_rays,1,-22.195,66.88,177.05
1788858291.979,selected_bearing_rays,2,-16.569,50.49,177.05
1788858292.010,selected_bearing_rays,1,-22.366,67.40,177.12
1788858292.010,selected_bearing_rays,2,-16.936,51.60,177.12
1788858292.031,selected_bearing_rays,2,-17.704,53.88,177.16
1788858292.063,selected_bearing_rays,2,-15.788,48.22,177.22
1788858292.088,selected_bearing_rays,2,-15.590,47.64,177.27
1788858292.113,selected_bearing_rays,2,-15.837,48.39,177.31
1788858292.157,selected_bearing_rays,2,-16.554,50.54,177.39
1788858292.172,selected_bearing_rays,2,-16.450,50.24,177.41
1788858292.192,selected_bearing_rays,2,-16.381,50.05,177.45
1788858292.219,selected_bearing_rays,2,-16.171,49.43,177.49
1788858292.245,selected_bearing_rays,2,-15.649,47.89,177.53
1788858292.270,selected_bearing_rays,2,-14.969,45.87,177.59
1788858292.296,selected_bearing_rays,2,-14.564,44.67,177.64
1788858292.323,selected_bearing_rays,2,-14.149,43.43,177.68
1788858292.348,selected_bearing_rays,2,-14.161,43.49,177.75
1788858292.370,selected_bearing_rays,2,-13.876,42.64,177.79
1788858292.391,selected_bearing_rays,2,-13.333,41.01,177.84
1788858292.421,selected_bearing_rays,2,-12.821,39.48,177.90
1788858292.436,selected_bearing_rays,2,-12.549,38.67,177.95
1788858292.459,selected_bearing_rays,2,-12.345,38.05,177.99
1788858292.479,selected_bearing_rays,2,-12.139,37.44,178.04
1788858292.507,selected_bearing_rays,2,-12.046,37.17,178.12
1788858292.528,selected_bearing_rays,2,-12.053,37.20,178.17
1788858292.558,selected_bearing_rays,2,-12.376,38.20,178.24
1788858292.573,selected_bearing_rays,2,-13.181,40.65,178.27
1788858292.603,selected_bearing_rays,2,-13.164,40.62,178.34
1788858292.626,selected_bearing_rays,2,-13.186,40.70,178.42
1788858292.654,selected_bearing_rays,2,-13.248,40.90,178.47
1788858292.684,selected_bearing_rays,2,-13.370,41.29,178.54
1788858292.716,selected_bearing_rays,2,-13.872,42.82,178.62
1788858292.738,selected_bearing_rays,2,-14.221,43.89,178.65
1788858292.768,selected_bearing_rays,2,-14.493,44.73,178.72
1788858292.796,selected_bearing_rays,2,-16.000,49.28,178.78
1788858292.821,selected_bearing_rays,2,-17.611,54.10,178.82
1788858292.855,selected_bearing_rays,2,-19.079,58.48,178.89
1788858292.879,selected_bearing_rays,2,-19.240,58.97,178.96
1788858292.900,selected_bearing_rays,2,-19.553,59.91,179.00
1788858292.941,selected_bearing_rays,2,-17.667,54.35,179.08
1788858292.962,selected_bearing_rays,2,-15.603,48.18,179.13
1788858292.980,selected_bearing_rays,2,-15.086,46.63,179.16
1788858293.001,selected_bearing_rays,2,-14.571,45.09,179.21
1788858293.020,selected_bearing_rays,2,-14.462,44.77,179.25
1788858293.037,selected_bearing_rays,2,-14.270,44.20,179.30
1788858293.058,selected_bearing_rays,2,-14.047,43.53,179.35
1788858293.091,selected_bearing_rays,2,-14.060,43.59,179.43
1788858293.123,selected_bearing_rays,2,-13.656,42.38,179.49
1788858293.148,selected_bearing_rays,2,-13.638,42.34,179.59
1788858293.169,selected_bearing_rays,2,-13.583,42.19,179.63
1788858293.191,selected_bearing_rays,2,-13.383,41.59,179.68
1788858293.213,selected_bearing_rays,2,-13.477,41.89,179.73
1788858293.242,selected_bearing_rays,2,-13.375,41.59,179.80
1788858293.267,selected_bearing_rays,2,-13.159,40.95,179.87
1788858293.296,selected_bearing_rays,2,-13.037,40.59,179.92
1788858293.321,selected_bearing_rays,2,-13.051,40.64,179.98
1788858293.342,selected_bearing_rays,2,-13.123,40.88,180.03
1788858293.373,selected_bearing_rays,2,-13.303,41.44,180.10
1788858293.392,selected_bearing_rays,2,-13.587,42.32,180.15
1788858293.420,selected_bearing_rays,2,-13.753,42.84,180.22
1788858293.437,selected_bearing_rays,2,-13.935,43.41,180.26
1788858293.469,selected_bearing_rays,2,-14.020,43.69,180.33
1788858293.485,selected_bearing_rays,2,-14.381,44.79,180.35
1788858293.515,selected_bearing_rays,2,-14.429,44.96,180.42
1788858293.550,selected_bearing_rays,2,-14.643,45.63,180.51
1788858293.571,selected_bearing_rays,2,-14.582,45.46,180.56
1788858293.592,selected_bearing_rays,2,-14.531,45.31,180.61
1788858293.615,selected_bearing_rays,2,-14.353,44.78,180.66
1788858293.644,selected_bearing_rays,2,-14.137,44.14,180.73
1788858293.672,selected_bearing_rays,2,-13.839,43.25,180.81
1788858293.708,selected_bearing_rays,2,-13.307,41.64,180.91
1788858293.721,selected_bearing_rays,2,-13.166,41.21,180.93
1788858293.760,selected_bearing_rays,2,-12.830,40.20,181.03
1788858293.801,selected_bearing_rays,2,-12.564,39.40,181.12
1788858293.833,selected_bearing_rays,2,-12.570,39.44,181.21
1788858293.855,selected_bearing_rays,2,-12.596,39.53,181.26
1788858293.890,selected_bearing_rays,2,-12.840,40.30,181.36
1788858293.911,selected_bearing_rays,2,-13.167,41.32,181.41
1788858293.939,selected_bearing_rays,2,-13.240,41.56,181.49
1788858293.959,selected_bearing_rays,2,-13.216,41.50,181.54
1788858293.978,selected_bearing_rays,2,-13.854,43.48,181.59
1788858294.004,selected_bearing_rays,2,-14.126,44.32,181.62
1788858294.023,selected_bearing_rays,2,-14.080,44.20,181.68
1788858294.052,selected_bearing_rays,2,-14.206,44.61,181.77
1788858294.072,selected_bearing_rays,2,-14.224,44.68,181.82
1788858294.098,selected_bearing_rays,2,-14.731,46.25,181.90
1788858294.124,selected_bearing_rays,2,-14.900,46.78,181.94
1788858294.154,selected_bearing_rays,2,-14.582,45.83,182.03
1788858294.183,selected_bearing_rays,2,-14.261,44.86,182.10
1788858294.215,selected_bearing_rays,2,-14.097,44.37,182.18
1788858294.229,selected_bearing_rays,2,-13.955,43.95,182.23
1788858294.268,selected_bearing_rays,2,-13.826,43.57,182.32
1788858294.285,selected_bearing_rays,2,-12.183,38.48,182.34
1788858294.318,selected_bearing_rays,2,-11.492,36.35,182.45
1788858294.345,selected_bearing_rays,2,-12.781,40.38,182.50
1788858294.365,selected_bearing_rays,2,-13.415,42.35,182.55
1788858294.394,selected_bearing_rays,2,-13.507,42.66,182.64
1788858294.417,selected_bearing_rays,2,-13.526,42.73,182.71
1788858294.441,selected_bearing_rays,2,-13.577,42.90,182.76
1788858294.478,selected_bearing_rays,2,-13.596,42.99,182.87
1788858294.500,selected_bearing_rays,2,-13.700,43.32,182.91
1788858294.532,selected_bearing_rays,2,-13.661,43.22,183.00
1788858294.552,selected_bearing_rays,2,-13.543,42.87,183.06
1788858294.579,selected_bearing_rays,2,-13.439,42.56,183.14
1788858294.605,selected_bearing_rays,2,-13.410,42.49,183.19
1788858294.635,selected_bearing_rays,2,-13.509,42.82,183.29
1788858294.659,selected_bearing_rays,2,-13.566,43.01,183.35
1788858294.681,selected_bearing_rays,2,-13.615,43.18,183.42
1788858294.699,selected_bearing_rays,2,-14.039,44.51,183.48
1788858294.737,selected_bearing_rays,2,-13.871,44.00,183.55
1788858294.759,selected_bearing_rays,2,-13.884,44.06,183.63
1788858294.788,selected_bearing_rays,2,-13.748,43.66,183.71
1788858294.821,selected_bearing_rays,2,-13.738,43.65,183.78
1788858294.850,selected_bearing_rays,2,-13.689,43.51,183.86
1788858294.880,selected_bearing_rays,2,-13.942,44.32,183.93
1788858294.924,selected_bearing_rays,2,-13.745,43.73,184.04
1788858294.962,selected_bearing_rays,2,-14.102,44.87,184.14
1788858294.993,selected_bearing_rays,2,-14.457,45.99,184.22
1788858295.007,selected_bearing_rays,2,-14.686,46.71,184.26
1788858295.039,selected_bearing_rays,2,-14.592,46.44,184.34
1788858295.072,selected_bearing_rays,2,-14.198,45.24,184.43
1788858295.104,selected_bearing_rays,2,-14.226,45.34,184.51
1788858295.123,selected_bearing_rays,2,-14.133,45.07,184.57
1788858295.143,selected_bearing_rays,2,-13.751,43.89,184.65
1788858295.172,selected_bearing_rays,2,-13.535,43.24,184.74
1788858295.212,selected_bearing_rays,2,-13.259,42.40,184.87
1788858295.234,selected_bearing_rays,2,-12.811,41.01,184.93
1788858295.267,selected_bearing_rays,2,-12.729,40.78,185.06
1788858295.293,selected_bearing_rays,2,-12.951,41.49,185.12
1788858295.326,selected_bearing_rays,2,-13.110,42.01,185.20
1788858295.358,selected_bearing_rays,2,-13.340,42.76,185.32
1788858295.379,selected_bearing_rays,2,-13.660,43.78,185.40
1788858295.402,selected_bearing_rays,2,-14.145,45.32,185.44
1788858295.423,selected_bearing_rays,2,-14.112,45.23,185.51
1788858295.446,selected_bearing_rays,2,-14.328,45.92,185.56
1788858295.463,selected_bearing_rays,2,-14.811,47.45,185.62
1788858295.482,selected_bearing_rays,2,-15.013,48.09,185.67
1788858295.521,selected_bearing_rays,2,-15.377,49.26,185.77
1788858295.547,selected_bearing_rays,2,-15.585,49.93,185.82
1788858295.572,selected_bearing_rays,2,-15.650,50.15,185.91
1788858295.594,selected_bearing_rays,2,-15.708,50.35,185.96
1788858295.622,selected_bearing_rays,2,-15.766,50.55,186.04
1788858295.640,selected_bearing_rays,2,-15.752,50.52,186.09
1788858295.663,selected_bearing_rays,2,-15.698,50.37,186.16
1788858295.683,selected_bearing_rays,2,-15.544,49.90,186.20
1788858295.708,selected_bearing_rays,2,-15.348,49.31,186.31
1788858295.737,selected_bearing_rays,2,-14.992,48.22,186.40
1788858295.764,selected_bearing_rays,2,-14.803,47.64,186.46
1788858295.794,selected_bearing_rays,2,-14.441,46.53,186.57
1788858295.815,selected_bearing_rays,2,-13.994,45.13,186.63
1788858295.849,selected_bearing_rays,2,-13.979,45.11,186.76
1788858295.867,selected_bearing_rays,2,-13.984,45.15,186.82
1788858295.893,selected_bearing_rays,2,-14.179,45.78,186.89
1788858295.922,selected_bearing_rays,2,-14.152,45.71,186.97
1788858295.938,selected_bearing_rays,2,-14.301,46.20,187.05
1788858295.965,selected_bearing_rays,2,-14.486,46.80,187.10
1788858295.989,selected_bearing_rays,2,-14.420,46.62,187.20
1788858296.020,selected_bearing_rays,2,-14.748,47.68,187.29
1788858296.048,selected_bearing_rays,2,-15.005,48.51,187.37
1788858296.073,selected_bearing_rays,2,-15.023,48.58,187.43
1788858296.105,selected_bearing_rays,2,-15.031,48.63,187.52
1788858296.156,selected_bearing_rays,2,-15.157,49.07,187.69
1788858296.180,selected_bearing_rays,2,-15.527,50.26,187.77
1788858296.206,selected_bearing_rays,2,-15.683,50.77,187.81
1788858296.241,selected_bearing_rays,2,-15.791,51.15,187.94
1788858296.262,selected_bearing_rays,2,-15.807,51.21,188.01
1788858296.287,selected_bearing_rays,2,-15.787,51.17,188.09
1788858296.321,selected_bearing_rays,2,-15.374,49.89,188.18
1788858296.342,selected_bearing_rays,2,-15.129,49.13,188.24
1788858296.375,selected_bearing_rays,2,-14.973,48.66,188.34
1788858296.401,selected_bearing_rays,2,-14.712,47.85,188.42
1788858296.418,selected_bearing_rays,2,-14.445,47.02,188.51
1788858296.445,selected_bearing_rays,2,-14.686,47.80,188.56
1788858296.462,selected_bearing_rays,2,-14.343,46.73,188.64
1788858296.490,selected_bearing_rays,2,-14.489,47.22,188.74
1788858296.531,selected_bearing_rays,2,-14.614,47.65,188.86
1788858296.551,selected_bearing_rays,2,-14.374,46.90,188.92
1788858296.577,selected_bearing_rays,2,-12.112,39.66,189.00
1788858296.605,selected_bearing_rays,2,-1.945,6.42,189.06
1788858296.635,selected_bearing_rays,2,20.124,65.08,189.16
1788858296.655,selected_bearing_rays,2,33.018,103.11,189.22
1788858296.685,selected_bearing_rays,2,56.385,157.65,189.30
